sku,Product Code,Product Name,Cost Price,Retail Price
03CLPSCR,03CLPSCR,Lavage Olympia Floor Mount Package Chrome Slim,346.96,346.96
040008L,040008L,WSL 8mm Female Lockable Ballvalve CDW Special,9.75,15
040010L,040010L,WSL 10mm Female Lockable Ballvalve CDW Special,9.75,15
040015L,040015L,15mm Bugatti Female Lockable Ballvalve,54.54,83.9
040020L,040020L,WSL 20mm Bugatti Lockable Ballvalve,48.34,74.37
040020USH,040020USH,WSL 20mm Bugatti Gas Ballvalve M&F c/w Union,48.3,74.3
040025L,040025L,25mm Bugatti Female Lockable Ballvalve,90.2,138.77
04CLK,04CLK,Lavage Olympia BTW Toilet Suite w/Connector,346.96,346.96
522064,522064,64mm Toronto Water S&D Hose Rubber Metre,81.26,116.09
552076,552076,76mm Puerto Rico Petrol S&D Hose Ru Metre,118.81,169.73
552102,552102,102mm Puerto Rico Petrol S&D Hose R Metre,213.23,304.62
6,6,Silfra Tek Bath Pop Up Waste with O/Flow,109.54,121.71
06+50,06+50,Silfra Tek +50 Bath Pop Up Waste with O/Flow,123.91,137.68
63.81,63.81,Duravit Starck 3 Standard Toilet Seat,192.11,213.46
63.89,63.89,Duravit Starck 3 Soft Close Toilet Seat,209.18,232.42
64.2,64.2,Duravit Standard Toilet Seat,275.64,306.27
65200,65200,900x900 Clearlite Shower Tray,317.93,353.26
65400,65400,900x900 Clearlite Angle Shower Tray,317.93,353.26
65600,65600,1000x1000 Clearlite Shower Tray,341.34,379.27
65800,65800,1000x1000 Clearlite Angle Shower Tray,341.34,379.27
69.89,69.89,Duravit Darling New Soft Close Toilet Seat,209.21,232.46
06L,06L,Silfra Tek Bath Pop Up Waste with O/Flow 1000mm,141.88,157.64
71416,71416,Rheem Thermocouple 610mm Long 071416,52.01,74.3
71428,71428,Rheem Thermocouple 450mm Long,32.18,45.97
721002106,721002106,900x900 Clearlite Square Flat Wall 1920h,203.47,226.08
740,740,20mm Hose Seal Filter & Washer SS (2pk),9.82,12.27
79401,79401,AC3 Gas Control Valve NG,437.08,624.4
79500,79500,Rheem Gas Valve Controller,239.24,478.48
79612,79612,Rheem HSI Controller,210.71,421.41
887297,887297,15mm Watts 009/RPZ  Repair Kit,127.05,189.63
08CL,08CL,Lavage Olympia 750mm Basin,173.04,173.04
90200,90200,1655mm Bath Frame for Pacific Bath 2 Sided,46.95,52.17
9600016,9600016,900 Sierra Alcove Door 1920h,406.95,452.17
09600017/09510090,09600017/09510090,900x900 Sierra Square Door and Return White 1920h,571.91,635.46
9800360,9800360,1100mm Clearlite Platinum Bath Panel,636.84,707.6
9800365,9800365,1100mm Clearlite Platinum Bath Panel and Sill Kit,718.77,798.63
98015,98015,15mm Itap Union Ballvalve,17.37,26.73
98020,98020,20mm Itap Union Ballvalve,29.5,45.38
98025,98025,25mm Itap Union Ballvalve,41.85,64.39
1-50SP,1-50SP,50mm Aqualine Universal Supp Trap S&P,15.42,30.84
1-TP32,1-TP32,32mm Aqualine Tight Trap,12.32,22.4
1-TP40,1-TP40,40mm Aqualine Tight Trap,12.32,22.4
10 CA EHP,10 CA EHP,Topliss TB10EHP Body Cap Assembly,64.6,80.75
10 CA ELP,10 CA ELP,Topliss TB10ELP Body Cap Assembly,64.6,80.75
10.5X.4,10.5X.4,10.5x.4 Galv Corrugated Iron (762),17.34,20.4
10.5X.55,10.5X.55,10.5x.55 Galv Corrugated Iron (762),19.15,22.53
10.5X.55C,10.5X.55C,10.5x.55 Colour Corrugated Iron(762),24.4,28.7
100-15,100-15,15mm Male Bib Hose Tap,35.84,44.8
100.55DP,100.55DP,100mmx2.4m Galv Downpipe .55,59.16,69.6
1000A-002,1000A-002,Fluidmaster Monaco Universal Link Cistern and Seat,155.8,205.4
100100,100100,100mmx6m PVC DWV Pipe,27.22,106.26
100100METRE,100100METRE,100mm PVC DWV Pipe (Metre),7.24,20.68
100100RRJ,100100RRJ,100mmx6m PVC DWV Pipe RRJ,49.49,188.19
100100SLOT,100100SLOT,100mmx6m PVC DWV Pipe SLOTTED,41.81,124.5
100150,100150,150mmx6m PVC DWV Pipe,102.01,226.68
100150METRE,100150METRE,150mm PVC Soil Pipe (Metre),19.44,43.21
10032,10032,32mmx6m PVC Waste Pipe,28.72,70.84
10032METRE,10032METRE,32mm PVC Waste Pipe (Metre),5.71,13.93
1004-44,1004-44,100mm Plumbqwik EW Coupler 1004-44/D104-44,33.72,44.37
1004-66,1004-66,150mm Plumbqwik EW Coupler 1004-66/D104-66,60.9,101.5
10040,10040,40mmx6m PVC Waste Pipe,15.12,70.84
10040METRE,10040METRE,40mm PVC Waste Pipe (Metre),4.4,14.18
1004WFCP,1004WFCP,Fantini Mare Basin Mixer Chrome,437.48,486.09
10050,10050,50mmx6m PVC Waste Pipe,24.35,82.65
10050METRE,10050METRE,50mm PVC Waste Pipe (Metre),7.09,16.11
1006-43,1006-43,100x80 Plumbqwik EW to PVC Coupler 1006-43/D106-43,31.53,41.49
1006-44,1006-44,100mm Plumbqwik E/Combo 1006-44/D106-44/AC100EPB,16.15,21.25
1006-64,1006-64,150x100mm Plumbqwik Red Coupler 1006-64/D106-64,60.83,101.38
1006-66,1006-66,150mm Plumbqwik EW/Combo 1006-66/D106-66/AC150EPB,42.1,70.16
10065,10065,65mmx6m PVC Soil Pipe,40.56,94.46
10065METRE,10065METRE,65mm PVC Soil Pipe (Metre),8.23,18.28
10080,10080,80mmx6m PVC Soil Vent Pipe,48.7,106.26
100800640,100800640,640-700mm Clearlite Trombone Door Red 1920h,493.05,547.83
100800700,100800700,700-760mm Clearlite Trombone Door Green 1920h,493.05,547.83
100800760,100800760,760-840mm Clearlite Trombone Door Yellow 1920h,493.05,547.83
100800840,100800840,840-940mm Clearlite Trombone Door Purple 1920h,493.05,547.83
100800940,100800940,940-1000mm Clearlite Trombone Door Orange 1920h,493.05,547.83
10080METRE,10080METRE,80mm PVC Soil Pipe (Metre),10.2,21.25
10090090,10090090,900mm Clearlite Bath Swing Panel,362.79,403.1
10090095,10090095,900mm Clearlite Bath Swing Panel and Sill Kit,379.86,422.07
10090407,10090407,310ml Sikaflex 11FC Adhesive Sealant Black,24.71,33.85
100CC,100CC,100mm Copper Downpipe Clip,17.85,21
100CD,100CD,100mmx2.4m Copper Downpipe,204,240
100LASKIT.10,100LASKIT.10,100mm x 1m Allproof Laser Bathroom Kit,345.56,460.74
100LASKIT.12,100LASKIT.12,100mm x 1.2m Allproof Laser Bathroom Kit,362.89,483.85
100PCINOX,100PCINOX,GPS 100 Orion Pressure Sys Auto Press Ctrl (S/S),495.54,627.27
100SN10.100.6RJ,100SN10.100.6RJ,100mmx6m PVC DWV SN10 Pipe RRJ,158.12,282.36
100SN16.100.6RJ,100SN16.100.6RJ,100mmx6m PVC DWV SN16 Pipe RRJ,112.06,307.86
100SN16.150.4RJ,100SN16.150.4RJ,150mmx4m PVC DWV SN16 Pipe RRJ,312.01,445.73
100SN16.150.6RJ,100SN16.150.6RJ,150mmx6m PVC DWV SN16 Pipe RRJ,159.55,455.87
100SN16.175.6RJ,100SN16.175.6RJ,175mmx6m PVC DWV SN16 Pipe RRJ,551.42,787.74
100SN4.150.6RJ,100SN4.150.6RJ,150mmx6m PVC DWV SN4 Pipe RRJ,134.51,192.15
